rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2016;2016-17;Unité urbaine;Reims;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;10937;oui;1035;oui;168;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU51701;R44;;;UU51701
2009;2009-10;Commune;Fontenay-le-Comte;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;62;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;85092;R52;A17;D085;UU85304
2016;2016-17;Unité urbaine;Chaumont;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;244;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU52401;R44;;;UU52401
2009;2009-10;Commune;Montaigu;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;95;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;85146;R52;A17;D085;UU85302
2016;2016-17;Département;Moselle;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;48;non;;oui;48;oui;Données diffusables;non;Autres données;DEPARTEMENT;D057;R44;A12;D057;
2009;2009-10;Commune;Fleuré;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;14;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;86099;R75;A13;D086;CR86099
2016;2016-17;Département;Nord;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;3812;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D059;R32;A09;D059;
2016;2016-17;Département;Oise;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;1595;non;;oui;1218;oui;Données diffusables;non;Autres données;DEPARTEMENT;D060;R32;A20;D060;
2016;2016-17;Département;Orne;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;37;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D061;R28;A05;D061;
2016;2016-17;Département;Orne;UNIV;Universités;PU;Établissements publics;2;Feminin;372;oui;187;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D061;R28;A05;D061;
2016;2016-17;Département;Pas-de-Calais;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;468;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D062;R32;A09;D062;
2016;2016-17;Département;Pas-de-Calais;UNIV;Universités;PU;Établissements publics;2;Feminin;7309;oui;780;oui;68;oui;Données diffusables;non;Autres données;DEPARTEMENT;D062;R32;A09;D062;
2016;2016-17;Département;Puy-de-Dôme;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;445;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D063;R84;A06;D063;
2009;2009-10;Commune;Athis-Mons;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;227;oui;79;non;;oui;Données diffusables;non;Autres données;COMMUNE;91027;R11;A25;D091;UU00851
2016;2016-17;Département;Pyrénées-Orientales;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;139;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D066;R76;A11;D066;
2016;2016-17;Département;Pyrénées-Orientales;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;488;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D066;R76;A11;D066;
2016;2016-17;Département;Bas-Rhin;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;1;Masculin;448;non;;oui;448;oui;Données diffusables;non;Autres données;DEPARTEMENT;D067;R44;A15;D067;
2016;2016-17;Département;Bas-Rhin;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;955;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D067;R44;A15;D067;
2016;2016-17;Département;Bas-Rhin;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;34534;oui;762;oui;1042;oui;Données diffusables;non;Autres données;DEPARTEMENT;D067;R44;A15;D067;
2009;2009-10;Commune;Évry;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;621;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;91228;R11;A25;D091;UU00851
2016;2016-17;Département;Haut-Rhin;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;55;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D068;R44;A15;D068;
2009;2009-10;Commune;Antony;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;117;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92002;R11;A25;D092;UU00851
2016;2016-17;Département;Rhône;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;1;Masculin;2128;non;;oui;2128;oui;Données diffusables;non;Autres données;DEPARTEMENT;D069;R84;A10;D069;
2009;2009-10;Commune;Boulogne-Billancourt;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;86;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92012;R11;A25;D092;UU00851
2016;2016-17;Département;Saône-et-Loire;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;189;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D071;R27;A07;D071;
2009;2009-10;Commune;Colombes;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;88;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92025;R11;A25;D092;UU00851
2016;2016-17;Département;Savoie;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;4987;oui;392;oui;284;oui;Données diffusables;non;Autres données;DEPARTEMENT;D073;R84;A08;D073;
2009;2009-10;Commune;Issy-les-Moulineaux;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;14;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92040;R11;A25;D092;UU00851
2009;2009-10;Commune;Nanterre;UNIV;Universités;PU;Établissements publics;1;Masculin;10201;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92050;R11;A25;D092;UU00851
2009;2009-10;Commune;Rueil-Malmaison;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;67;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92063;R11;A25;D092;UU00851
