rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2011;2011-12;Commune;Valbonne;UNIV;Universités;PU;Établissements publics;1;Masculin;1120;oui;220;oui;530;oui;Données diffusables;non;Autres données;COMMUNE;6152;R93;A23;D006;UU06701
2013;2013-14;Commune;Les Loges-Margueron;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;41;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;10202;R44;A19;D010;CR10202
2011;2011-12;Commune;Annonay;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;4;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;7010;R84;A08;D007;UU07401
2009;2009-10;Commune;Nîmes;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;4;non;;oui;4;oui;Données diffusables;non;Autres données;COMMUNE;30189;R76;A11;D030;UU30601
2011;2011-12;Commune;Annonay;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;160;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;7010;R84;A08;D007;UU07401
2013;2013-14;Commune;Carcassonne;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;171;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;11069;R76;A11;D011;UU11501
2011;2011-12;Commune;Aubenas;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;77;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;7019;R84;A08;D007;UU07402
2009;2009-10;Commune;Castanet-Tolosan;INP;Instituts nationaux polytechniques (INP);PU;Établissements publics;2;Feminin;401;non;;oui;314;oui;Données diffusables;non;Autres données;COMMUNE;31113;R76;A16;D031;UU31701
2011;2011-12;Commune;Privas;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;1;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;7186;R84;A08;D007;UU07301
2009;2009-10;Commune;Labège;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;257;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31254;R76;A16;D031;UU31701
2011;2011-12;Commune;Privas;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;183;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;7186;R84;A08;D007;UU07301
2009;2009-10;Commune;Labège;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;720;non;;oui;16;oui;Données diffusables;non;Autres données;COMMUNE;31254;R76;A16;D031;UU31701
2011;2011-12;Commune;Bazeilles;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;133;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;8053;R44;A19;D008;UU08401
2013;2013-14;Commune;Tréguier;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;12;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;22362;R53;A14;D022;UU22204
2011;2011-12;Commune;Charleville-Mézières;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;718;oui;138;oui;2;oui;Données diffusables;non;Autres données;COMMUNE;8105;R44;A19;D008;UU08501
2013;2013-14;Commune;Aubagne;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;21;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13005;R93;A02;D013;UU00759
2011;2011-12;Commune;Revin;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;5;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;8363;R44;A19;D008;UU08205
2013;2013-14;Commune;La Ciotat;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;61;oui;44;non;;oui;Données diffusables;non;Autres données;COMMUNE;13028;R93;A02;D013;UU00757
2011;2011-12;Commune;Les Loges-Margueron;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;42;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;10202;R44;A19;D010;CR10202
2013;2013-14;Commune;La Ciotat;UNIV;Universités;PU;Établissements publics;1;Masculin;166;oui;136;non;;oui;Données diffusables;non;Autres données;COMMUNE;13028;R93;A02;D013;UU00757
2011;2011-12;Commune;Troyes;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;184;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;10387;R44;A19;D010;UU10601
2009;2009-10;Commune;Auch;UNIV;Universités;PU;Établissements publics;1;Masculin;262;oui;209;non;;oui;Données diffusables;non;Autres données;COMMUNE;32013;R76;A16;D032;UU32401
2011;2011-12;Commune;Laval-Roquecezière;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;33;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;12125;R76;A16;D012;CR12125
2013;2013-14;Commune;Port-Saint-Louis-du-Rhône;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;39;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13078;R93;A02;D013;UU13214
2011;2011-12;Commune;Arles;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;;non;;non;;non;Données non diffusables;oui;Données soumises au secret statistique;COMMUNE;13004;R93;A02;D013;UU00552
2013;2013-14;Commune;Marseille  1er;UNIV;Universités;PU;Établissements publics;2;Feminin;2285;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13201;R93;A02;D013;UU00759
2011;2011-12;Commune;Aubagne;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;8;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13005;R93;A02;D013;UU00759
2009;2009-10;Commune;Bègles;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;26;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;33039;R75;A04;D033;UU33701
2011;2011-12;Commune;Aubagne;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;160;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13005;R93;A02;D013;UU00759
2013;2013-14;Commune;Marseille  7e;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;3;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13207;R93;A02;D013;UU00759
2011;2011-12;Commune;La Ciotat;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;181;oui;140;non;;oui;Données diffusables;non;Autres données;COMMUNE;13028;R93;A02;D013;UU00757
2009;2009-10;Commune;Blanquefort;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;82;non;;oui;34;oui;Données diffusables;non;Autres données;COMMUNE;33056;R75;A04;D033;UU33701
2011;2011-12;Commune;Istres;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;33;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13047;R93;A02;D013;UU00759
2013;2013-14;Commune;Marseille 12e;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;82;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13212;R93;A02;D013;UU00759
2011;2011-12;Commune;Miramas;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;18;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13063;R93;A02;D013;UU00759
2013;2013-14;Commune;Évreux;UNIV;Universités;PU;Établissements publics;2;Feminin;646;oui;450;non;;oui;Données diffusables;non;Autres données;COMMUNE;27229;R28;A21;D027;UU27501
2011;2011-12;Commune;Miramas;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;30;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13063;R93;A02;D013;UU00759
