rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2001;2001-02;Commune;Villeneuve-la-Garenne;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;49;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92078;R11;A25;D092;UU00851
2008;2008-09;Commune;Auch;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;553;oui;213;non;;oui;Données diffusables;non;Autres données;COMMUNE;32013;R76;A16;D032;UU32401
2007;2007-08;Unité urbaine;Soissons;UNIV;Universités;PU;Établissements publics;2;Feminin;61;oui;11;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02404;R32;;;UU02404
2007;2007-08;Unité urbaine;Saint-Quentin;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02501;R32;;;UU02501
2007;2007-08;Unité urbaine;Digne-les-Bains;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;27;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU04301;R93;;;UU04301
2001;2001-02;Commune;Clichy-sous-Bois;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;16;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;93014;R11;A24;D093;UU00851
2008;2008-09;Commune;Talence;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;91;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;33522;R75;A04;D033;UU33701
2007;2007-08;Unité urbaine;Serris;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;450;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU77206;R11;;;UU77206
2007;2007-08;Unité urbaine;Nice;UNIV;Universités;PU;Établissements publics;2;Feminin;13333;oui;903;oui;158;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU06701;R93;;;UU06701
2007;2007-08;Unité urbaine;Privas;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;21;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU07301;R84;;;UU07301
2001;2001-02;Commune;Perpignan;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;39;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;66136;R76;A11;D066;UU66601
