rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2006;2006-07;Département;Loire;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;430;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D042;R84;A10;D042;
2001;2001-02;Académie;Dijon;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;1624;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A07;R27;A07;;
2006;2006-07;Département;Haute-Loire;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;204;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D043;R84;A06;D043;
2003;2003-04;Commune;Le Mée-sur-Seine;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;57;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;77285;R11;A24;D077;UU00851
2006;2006-07;Département;Loire-Atlantique;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;199;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D044;R52;A17;D044;
2006;2006-07;Département;Lot-et-Garonne;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;73;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D047;R75;A04;D047;
2003;2003-04;Commune;Provins;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;63;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;77379;R11;A24;D077;UU77303
2006;2006-07;Département;Maine-et-Loire;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;505;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D049;R52;A17;D049;
2003;2003-04;Commune;Roissy-en-Brie;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;77;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;77390;R11;A24;D077;UU00851
2006;2006-07;Département;Maine-et-Loire;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;6075;non;;oui;318;oui;Données diffusables;non;Autres données;DEPARTEMENT;D049;R52;A17;D049;
2001;2001-02;Commune;Paris  6e;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;589;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;75106;R11;A01;D075;UU00851
2006;2006-07;Département;Manche;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;2;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D050;R28;A05;D050;
2003;2003-04;Commune;Le Chesnay;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;50;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;78158;R11;A25;D078;UU00851
2006;2006-07;Département;Haute-Marne;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;38;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D052;R44;A19;D052;
2009;2009-10;Académie;Paris;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;5046;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A01;R11;A01;;
2006;2006-07;Département;Haute-Marne;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;26;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D052;R44;A19;D052;
2009;2009-10;Académie;Paris;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;4118;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A01;R11;A01;;
2006;2006-07;Département;Meurthe-et-Moselle;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;30;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D054;R44;A12;D054;
2001;2001-02;Commune;Paris 12e;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;140;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;75112;R11;A01;D075;UU00851
2006;2006-07;Département;Meurthe-et-Moselle;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;515;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D054;R44;A12;D054;
2003;2003-04;Commune;Mantes-la-Jolie;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;58;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;78361;R11;A25;D078;UU00851
2006;2006-07;Département;Morbihan;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;68;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D056;R53;A14;D056;
2003;2003-04;Commune;Mantes-la-Jolie;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;91;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;78361;R11;A25;D078;UU00851
2006;2006-07;Département;Morbihan;UNIV;Universités;PU;Établissements publics;2;Feminin;3524;oui;451;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D056;R53;A14;D056;
2009;2009-10;Académie;Bordeaux;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;28;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A04;R75;A04;;
2006;2006-07;Département;Moselle;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;232;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D057;R44;A12;D057;
2003;2003-04;Commune;Versailles;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;23;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;78646;R11;A25;D078;UU00851
2006;2006-07;Département;Nord;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;1114;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D059;R32;A09;D059;
2010;2010-11;Unité urbaine;Agen;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;903;oui;126;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU47501;R75;;;UU47501
2006;2006-07;Unité urbaine;Chauny;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;34;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02303;R32;;;UU02303
2001;2001-02;Commune;Eu;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;18;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76255;R28;A21;D076;UU00453
2006;2006-07;Unité urbaine;Laon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;862;oui;293;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02403;R32;;;UU02403
2010;2010-11;Unité urbaine;Angers;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;309;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU49701;R52;;;UU49701
2006;2006-07;Unité urbaine;Saint-Quentin;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;69;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02501;R32;;;UU02501
2009;2009-10;Commune;Orange;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;40;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;84087;R93;A02;D084;UU00754
2006;2006-07;Unité urbaine;Saint-Quentin;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02501;R32;;;UU02501
2001;2001-02;Commune;Franqueville-Saint-Pierre;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;36;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76475;R28;A21;D076;UU00755
2006;2006-07;Unité urbaine;Montluçon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;830;oui;353;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU03501;R84;;;UU03501
2001;2001-02;Commune;Franqueville-Saint-Pierre;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;22;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76475;R28;A21;D076;UU00755
2006;2006-07;Unité urbaine;Montluçon;UNIV;Universités;PU;Établissements publics;1;Masculin;541;oui;353;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU03501;R84;;;UU03501
2009;2009-10;Commune;La Roche-sur-Yon;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;968;non;;oui;17;oui;Données diffusables;non;Autres données;COMMUNE;85191;R52;A17;D085;UU85501
2006;2006-07;Unité urbaine;Vichy;UNIV;Universités;PU;Établissements publics;1;Masculin;132;oui;52;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU03502;R84;;;UU03502
2010;2010-11;Unité urbaine;Vitry-le-François;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;41;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU51301;R44;;;UU51301
2006;2006-07;Unité urbaine;Briançon;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;20;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU05301;R93;;;UU05301
2001;2001-02;Commune;Sainte-Adresse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;161;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76552;R28;A21;D076;UU76701
2006;2006-07;Unité urbaine;Gap;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;21;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU05401;R93;;;UU05401
2010;2010-11;Unité urbaine;Reims;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;57;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU51701;R44;;;UU51701
2006;2006-07;Unité urbaine;Gap;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;335;oui;51;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU05401;R93;;;UU05401
2001;2001-02;Commune;Sotteville-lès-Rouen;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;127;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76681;R28;A21;D076;UU00755
2006;2006-07;Unité urbaine;Nice;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;776;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU06701;R93;;;UU06701
2010;2010-11;Unité urbaine;Mulhouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;293;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU68701;R44;;;UU68701
2006;2006-07;Unité urbaine;Privas;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;25;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU07301;R84;;;UU07301
2009;2009-10;Commune;Joigny;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;59;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;89206;R27;A07;D089;UU89301
2006;2006-07;Unité urbaine;Foix;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;311;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU09301;R76;;;UU09301
