rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2013;2013-14;Commune;Palaiseau;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;111;non;;oui;99;oui;Données diffusables;non;Autres données;COMMUNE;91477;R11;A25;D091;UU00851
2006;2006-07;Unité urbaine;Saint-Étienne;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;295;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00753;R84;;;UU00753
2006;2006-07;Unité urbaine;Saint-Étienne;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;287;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00753;R84;;;UU00753
2006;2006-07;Unité urbaine;Avignon;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;564;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00754;R93;;;UU00754
2006;2006-07;Unité urbaine;Avignon;UNIV;Universités;PU;Établissements publics;1;Masculin;2638;oui;183;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00754;R93;;;UU00754
2006;2006-07;Unité urbaine;Rouen;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;17668;oui;583;oui;501;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00755;R28;;;UU00755
2008;2008-09;Unité urbaine;Mazamet;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;26;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU81401;R76;;;UU81401
2013;2013-14;Commune;Montrouge;UNIV;Universités;PU;Établissements publics;2;Feminin;521;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92049;R11;A25;D092;UU00851
2006;2006-07;Unité urbaine;Toulon;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;22;non;;oui;22;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00757;R93;;;UU00757
2013;2013-14;Commune;Sèvres;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;98;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92072;R11;A25;D092;UU00851
2013;2013-14;Commune;Vanves;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;204;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;92075;R11;A25;D092;UU00851
2006;2006-07;Unité urbaine;Paris;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;9780;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00851;R11;;;UU00851
2008;2008-09;Unité urbaine;Loudun;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;44;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU86204;R75;;;UU86204
2008;2008-09;Unité urbaine;Châtellerault;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;73;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU86401;R75;;;UU86401
2008;2008-09;Unité urbaine;Châtellerault;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;193;oui;106;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU86401;R75;;;UU86401
2013;2013-14;Commune;Gagny;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;138;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;93032;R11;A24;D093;UU00851
2006;2006-07;Unité urbaine;Vichy;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;23;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU03502;R84;;;UU03502
2006;2006-07;Unité urbaine;Vichy;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;1;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU03502;R84;;;UU03502
2013;2013-14;Commune;Le Kremlin-Bicêtre;UNIV;Universités;PU;Établissements publics;2;Feminin;2576;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;94043;R11;A24;D094;UU00851
2006;2006-07;Unité urbaine;Privas;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;159;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU07301;R84;;;UU07301
2008;2008-09;Unité urbaine;Auxerre;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;48;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU89402;R27;;;UU89402
2008;2008-09;Unité urbaine;Privas;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;13;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU07301;R84;;;UU07301
2008;2008-09;Unité urbaine;Annonay;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;18;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU07401;R84;;;UU07401
2006;2006-07;Unité urbaine;Sedan;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;248;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU08401;R44;;;UU08401
2008;2008-09;Unité urbaine;Rodez;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;182;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU12402;R76;;;UU12402
2013;2013-14;Commune;Jouy-le-Moutier;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;7;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;95323;R11;A25;D095;UU00851
2006;2006-07;Unité urbaine;Carcassonne;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;58;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU11501;R76;;;UU11501
2006;2006-07;Unité urbaine;Narbonne;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;869;oui;153;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU11502;R76;;;UU11502
2008;2008-09;Unité urbaine;Angoulême;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;14;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU16601;R75;;;UU16601
2006;2006-07;Unité urbaine;Lisieux;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;183;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14401;R28;;;UU14401
2008;2008-09;Unité urbaine;Vierzon;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;110;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU18401;R24;;;UU18401
2013;2013-14;Commune;Pointe-à-Pitre;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;99;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97120;R01;A32;D971;UU9A701
2008;2008-09;Unité urbaine;Sainte-Suzanne;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;47;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9D401;R04;;;UU9D401
2006;2006-07;Unité urbaine;Barbezieux-Saint-Hilaire;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;32;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU16107;R75;;;UU16107
2008;2008-09;Unité urbaine;Saint-Denis;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;83;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9D603;R04;;;UU9D603
2009;2009-10;Commune;Crézancy;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;11;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;2239;R32;A20;D002;CR02239
2006;2006-07;Unité urbaine;Saintes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;288;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU17401;R75;;;UU17401
2013;2013-14;Commune;Biarritz;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;4;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;64122;R75;A04;D064;UU00751
2009;2009-10;Commune;Gap;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;305;oui;57;non;;oui;Données diffusables;non;Autres données;COMMUNE;5061;R93;A02;D005;UU05401
2013;2013-14;Commune;Pau;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;294;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;64445;R75;A04;D064;UU64601
2009;2009-10;Commune;Cannes;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;56;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;6029;R93;A23;D006;UU06701
2006;2006-07;Département;Eure;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;523;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D027;R28;A21;D027;
2011;2011-12;Unité urbaine;Belley;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;1;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU01205;R84;;;UU01205
2011;2011-12;Unité urbaine;Château-Thierry;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;39;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02401;R32;;;UU02401
2011;2011-12;Unité urbaine;Laon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;434;oui;177;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02403;R32;;;UU02403
2006;2006-07;Département;Corse-du-Sud;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;329;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D02A;R94;A27;D02A;
2006;2006-07;Département;Haute-Corse;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;36;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D02B;R94;A27;D02B;
2011;2011-12;Unité urbaine;Vichy;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;107;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU03502;R84;;;UU03502
2013;2013-14;Commune;Illkirch-Graffenstaden;UNIV;Universités;PU;Établissements publics;2;Feminin;1309;oui;437;oui;182;oui;Données diffusables;non;Autres données;COMMUNE;67218;R44;A15;D067;UU67701
2011;2011-12;Unité urbaine;Charleville-Mézières;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;36;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU08501;R44;;;UU08501
2009;2009-10;Unité urbaine;Metz;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;886;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU57701;R44;;;UU57701
2011;2011-12;Unité urbaine;Bar-sur-Seine;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;27;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU10105;R44;;;UU10105
2011;2011-12;Unité urbaine;Decazeville;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;34;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU12302;R76;;;UU12302
2009;2009-10;Unité urbaine;Nevers;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;9;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU58501;R27;;;UU58501
2011;2011-12;Unité urbaine;Vire;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;32;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14301;R28;;;UU14301
2011;2011-12;Unité urbaine;Dives-sur-Mer;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;58;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14402;R28;;;UU14402
2009;2009-10;Unité urbaine;Fourmies;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;21;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU59305;R32;;;UU59305
2013;2013-14;Commune;Limonest;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;334;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;69116;R84;A10;D069;UU00758
2009;2009-10;Unité urbaine;Cambrai;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;67;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU59403;R32;;;UU59403
2011;2011-12;Unité urbaine;Saint-Amand-Montrond;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;10;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU18301;R24;;;UU18301
2013;2013-14;Commune;Villeurbanne;UNIV;Universités;PU;Établissements publics;2;Feminin;6355;oui;1280;oui;119;oui;Données diffusables;non;Autres données;COMMUNE;69266;R84;A10;D069;UU00758
2011;2011-12;Unité urbaine;Égletons;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;1;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU19106;R75;;;UU19106
2009;2009-10;Unité urbaine;Lille;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;845;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU59702;R32;;;UU59702
2013;2013-14;Commune;Lyon 2e;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;438;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;69382;R84;A10;D069;UU00758
2009;2009-10;Unité urbaine;Sées;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;90;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU61107;R28;;;UU61107
2013;2013-14;Commune;Lyon 5e;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;40;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;69385;R84;A10;D069;UU00758
2009;2009-10;Unité urbaine;Boulogne-sur-Mer;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;131;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU62503;R32;;;UU62503
2009;2009-10;Unité urbaine;Calais;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;327;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU62504;R32;;;UU62504
2009;2009-10;Unité urbaine;Clermont-Ferrand;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;100;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU63701;R84;;;UU63701
2011;2011-12;Unité urbaine;La Souterraine;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;85;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU23201;R75;;;UU23201
2011;2011-12;Unité urbaine;Périgueux;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;34;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU24501;R75;;;UU24501
2013;2013-14;Commune;Lyon 9e;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;856;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;69389;R84;A10;D069;UU00758
2013;2013-14;Commune;Le Creusot;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;374;oui;155;non;;oui;Données diffusables;non;Autres données;COMMUNE;71153;R27;A07;D071;UU71401
2013;2013-14;Commune;Allonnes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;156;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;72003;R52;A17;D072;UU72701
2013;2013-14;Commune;Ugine;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;3;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;73303;R84;A08;D073;UU73203
2013;2013-14;Commune;Montigny-le-Bretonneux;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;27;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;78423;R11;A25;D078;UU00851
2013;2013-14;Commune;Montigny-le-Bretonneux;UNIV;Universités;PU;Établissements publics;2;Feminin;2076;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;78423;R11;A25;D078;UU00851
2013;2013-14;Commune;Les Mureaux;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;37;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;78440;R11;A25;D078;UU00851
2009;2009-10;Unité urbaine;Guebwiller;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;176;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU68401;R44;;;UU68401
2009;2009-10;Unité urbaine;Colmar;UNIV;Universités;PU;Établissements publics;1;Masculin;881;oui;596;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU68501;R44;;;UU68501
2009;2009-10;Unité urbaine;Luxeuil-les-Bains;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;21;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU70304;R27;;;UU70304
2009;2009-10;Unité urbaine;Autun;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;77;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU71302;R27;;;UU71302
2009;2009-10;Unité urbaine;La Flèche;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;40;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU72303;R52;;;UU72303
