rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2005;2005-06;Commune;Brive-la-Gaillarde;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;97;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;19031;R75;A22;D019;UU00554
2005;2005-06;Commune;Tulle;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;25;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;19272;R75;A22;D019;UU19401
2005;2005-06;Commune;Tulle;UNIV;Universités;PU;Établissements publics;1;Masculin;135;oui;111;non;;oui;Données diffusables;non;Autres données;COMMUNE;19272;R75;A22;D019;UU19401
2011;2011-12;Académie;Lille;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;5975;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A09;R32;A09;;
2005;2005-06;Commune;Plombières-lès-Dijon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;24;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;21485;R27;A07;D021;UU21701
2011;2011-12;Académie;Montpellier;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;851;non;;oui;851;oui;Données diffusables;non;Autres données;ACADEMIE;A11;R76;A11;;
2005;2005-06;Commune;Guingamp;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;151;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;22070;R53;A14;D022;UU22401
2011;2011-12;Académie;Nancy-Metz;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;3600;non;;oui;641;oui;Données diffusables;non;Autres données;ACADEMIE;A12;R44;A12;;
2005;2005-06;Commune;Airion;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;30;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;60008;R32;A20;D060;CR60008
2005;2005-06;Commune;Beauvais;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;3;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;60057;R32;A20;D060;UU60501
2011;2011-12;Académie;Rennes;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;2872;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2011;2011-12;Académie;Strasbourg;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;7;non;;oui;7;oui;Données diffusables;non;Autres données;ACADEMIE;A15;R44;A15;;
2011;2011-12;Académie;Strasbourg;UNIV;Universités;PU;Établissements publics;1;Masculin;22299;oui;2417;oui;995;oui;Données diffusables;non;Autres données;ACADEMIE;A15;R44;A15;;
2013;2013-14;Commune;Decize;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;13;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;58095;R27;A07;D058;UU58201
2013;2013-14;Commune;Nevers;ESPE;ESPE;PU;Établissements publics;1;Masculin;3;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;58194;R27;A07;D058;UU58501
2005;2005-06;Commune;Béthune;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;879;oui;160;non;;oui;Données diffusables;non;Autres données;COMMUNE;62119;R32;A09;D062;UU00752
2013;2013-14;Commune;Le Cateau-Cambrésis;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;44;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59136;R32;A09;D059;UU59208
2011;2011-12;Commune;Paris 15e;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;22;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;75115;R11;A01;D075;UU00851
2013;2013-14;Commune;Fourmies;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;31;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59249;R32;A09;D059;UU59305
2013;2013-14;Commune;Lambersart;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;49;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59328;R32;A09;D059;UU59702
2011;2011-12;Commune;Le Havre;UNIV;Universités;PU;Établissements publics;2;Feminin;3442;oui;842;oui;90;oui;Données diffusables;non;Autres données;COMMUNE;76351;R28;A21;D076;UU76701
2011;2011-12;Commune;Sotteville-lès-Rouen;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;233;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76681;R28;A21;D076;UU00755
2011;2011-12;Commune;Yvetot;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;24;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76758;R28;A21;D076;UU76301
2011;2011-12;Commune;Yvetot;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;37;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76758;R28;A21;D076;UU76301
2013;2013-14;Commune;Grenoble;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;526;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;38185;R84;A08;D038;UU38701
2011;2011-12;Commune;Champs-sur-Marne;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;228;non;;oui;228;oui;Données diffusables;non;Autres données;COMMUNE;77083;R11;A24;D077;UU00851
2013;2013-14;Commune;L'Isle-d'Abeau;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;64;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;38193;R84;A08;D038;UU38501
2013;2013-14;Commune;Saint-Ismier;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;;non;;non;;non;Données non diffusables;oui;Données soumises au secret statistique;COMMUNE;38397;R84;A08;D038;UU38701
2013;2013-14;Commune;Saint-Martin-d'Hères;GE;Grands établissements MENESR;PU;Établissements publics;2;Feminin;589;non;;oui;450;oui;Données diffusables;non;Autres données;COMMUNE;38421;R84;A08;D038;UU38701
2015;2015-16;Département;Essonne;GE;Grands établissements MENESR;PU;Établissements publics;2;Feminin;275;non;;oui;245;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;
2015;2015-16;Département;Essonne;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;1085;non;;oui;130;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;
2011;2011-12;Commune;Meaux;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;849;oui;358;non;;oui;Données diffusables;non;Autres données;COMMUNE;77284;R11;A24;D077;UU77501
2001;2001-02;Commune;Digne-les-Bains;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;177;oui;29;non;;oui;Données diffusables;non;Autres données;COMMUNE;4070;R93;A02;D004;UU04301
2013;2013-14;Commune;Villemoirieu;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;25;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;38554;R84;A08;D038;UU38201
2015;2015-16;Département;Guadeloupe;UNIV;Universités;PU;Établissements publics;2;Feminin;3586;oui;145;oui;14;oui;Données diffusables;non;Autres données;DEPARTEMENT;D971;R01;A32;D971;
2015;2015-16;Département;La Réunion;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;16;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D974;R04;A28;D974;
2015;2015-16;Département;Mayotte;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;56;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D976;R06;A43;D976;
2013;2013-14;Commune;Mouchard;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;142;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;39370;R27;A03;D039;CR39370
2013;2013-14;Commune;Dax;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;221;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;40088;R75;A04;D040;UU40402
2001;2001-02;Commune;Val-de-Reuil;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;192;non;;oui;192;oui;Données diffusables;non;Autres données;COMMUNE;27701;R28;A21;D027;UU27402
2001;2001-02;Commune;Chartres;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;32;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;28085;R24;A18;D028;UU28501
2013;2013-14;Commune;Saint-Étienne;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;99;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;42218;R84;A10;D042;UU00753
2015;2015-16;Région;Guadeloupe;UNIV;Universités;PU;Établissements publics;2;Feminin;3586;oui;145;oui;14;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2013;2013-14;Commune;Monistrol-sur-Loire;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;9;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;43137;R84;A06;D043;UU43301
2015;2015-16;Région;Martinique;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;409;non;;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2013;2013-14;Commune;Saint-Germain-Laprade;UNIV;Universités;PU;Établissements publics;1;Masculin;45;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;43190;R84;A06;D043;CR43190
2012;2012-13;Unité urbaine;Prades;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU66205;R76;;;UU66205
2001;2001-02;Commune;Fouesnant;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;17;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;29058;R53;A14;D029;UU29402
2012;2012-13;Unité urbaine;Erstein;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU67301;R44;;;UU67301
2009;2009-10;Commune;Paris 14e;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;641;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;75114;R11;A01;D075;UU00851
2012;2012-13;Unité urbaine;Saverne;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;86;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU67307;R44;;;UU67307
2009;2009-10;Commune;Paris 18e;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;1058;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;75118;R11;A01;D075;UU00851
2015;2015-16;Département;Alpes-de-Haute-Provence;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;8;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D004;R93;A02;D004;
2009;2009-10;Commune;Montivilliers;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;43;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;76447;R28;A21;D076;UU76701
2012;2012-13;Unité urbaine;Paray-le-Monial;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;66;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU71205;R27;;;UU71205
2009;2009-10;Commune;Avon;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;173;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;77014;R11;A24;D077;UU77406
2001;2001-02;Commune;Nîmes;UNIV;Universités;PU;Établissements publics;1;Masculin;2002;oui;826;non;;oui;Données diffusables;non;Autres données;COMMUNE;30189;R76;A11;D030;UU30601
2001;2001-02;Commune;Uzès;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;7;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;30334;R76;A11;D030;UU30301
2009;2009-10;Commune;Fontainebleau;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;647;oui;144;non;;oui;Données diffusables;non;Autres données;COMMUNE;77186;R11;A24;D077;UU77406
2015;2015-16;Département;Bouches-du-Rhône;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;294;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D013;R93;A02;D013;
2012;2012-13;Unité urbaine;Albertville;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;11;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU73401;R84;;;UU73401
2009;2009-10;Commune;Melun;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;70;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;77288;R11;A24;D077;UU00851
2012;2012-13;Unité urbaine;Albertville;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;11;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU73401;R84;;;UU73401
2001;2001-02;Commune;Roubaix;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;90;non;;oui;90;oui;Données diffusables;non;Autres données;COMMUNE;59512;R32;A09;D059;UU59702
2009;2009-10;Commune;Pontault-Combault;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;28;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;77373;R11;A24;D077;UU00851
2012;2012-13;Unité urbaine;Chambéry;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;654;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU73601;R84;;;UU73601
2012;2012-13;Unité urbaine;Cluses;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;92;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU74502;R84;;;UU74502
2001;2001-02;Commune;Creil;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;310;oui;208;non;;oui;Données diffusables;non;Autres données;COMMUNE;60175;R32;A20;D060;UU60601
2017;2017-18;Commune;Mende;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;14;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;48095;R76;A11;D048;UU48301
2001;2001-02;Commune;Valenciennes;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;249;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59606;R32;A09;D059;UU59701
2017;2017-18;Commune;Cholet;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;301;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;49099;R52;A17;D049;UU49501
2017;2017-18;Commune;Les Ponts-de-Cé;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;366;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;49246;R52;A17;D049;UU49701
2017;2017-18;Commune;Sainte-Gemmes-sur-Loire;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;51;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;49278;R52;A17;D049;UU49701
2001;2001-02;Commune;Tourcoing;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;21;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59599;R32;A09;D059;UU59702
2015;2015-16;Département;Drôme;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;55;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D026;R84;A08;D026;
2013;2013-14;Unité urbaine;Bagnères-de-Bigorre;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;1;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU65301;R76;;;UU65301
2001;2001-02;Département;Savoie;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;96;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D073;R84;A08;D073;
2004;2004-05;Commune;Toulouse;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;2211;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555;R76;A16;D031;UU31701
