rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2007;2007-08;Unité urbaine;Pointe-à-Pitre - Les Abymes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;4239;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9A701;R01;;;UU9A701
2007;2007-08;Unité urbaine;Le Lorrain;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;24;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9B204;R02;;;UU9B204
2007;2007-08;Unité urbaine;Sainte-Marie;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;95;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9B401;R02;;;UU9B401
2008;2008-09;Commune;Narbonne;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;18;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;11262;R76;A11;D011;UU11502
2001;2001-02;Région;Bourgogne-Franche-Comté;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;35792;oui;2148;oui;595;oui;Données diffusables;non;Autres données;REGION;R27;R27;;;
2007;2007-08;Unité urbaine;Saint-Joseph;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;69;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9D405;R04;;;UU9D405
2008;2008-09;Commune;Aix-en-Provence;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;86;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;13001;R93;A02;D013;UU00759
2008;2008-09;Commune;La Ciotat;UNIV;Universités;PU;Établissements publics;1;Masculin;160;oui;126;non;;oui;Données diffusables;non;Autres données;COMMUNE;13028;R93;A02;D013;UU00757
2008;2008-09;Commune;Bourg-en-Bresse;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;49;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;1053;R84;A10;D001;UU01501
2001;2001-02;Région;Pays de la Loire;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;653;non;;non;;oui;Données diffusables;non;Autres données;REGION;R52;R52;;;
