rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2008;2008-09;Commune;Blois;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;337;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;41018;R24;A18;D041;UU41501
2008;2008-09;Commune;Blois;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;1248;oui;75;oui;140;oui;Données diffusables;non;Autres données;COMMUNE;41018;R24;A18;D041;UU41501
2008;2008-09;Commune;Andrézieux-Bouthéon;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;28;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;42005;R84;A10;D042;UU42501
2008;2008-09;Commune;Feurs;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;11;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;42094;R84;A10;D042;UU42203
2008;2008-09;Commune;Firminy;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;61;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;42095;R84;A10;D042;UU00753
2008;2008-09;Commune;Montbrison;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;60;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;42147;R84;A10;D042;UU42401
2008;2008-09;Commune;Perreux;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;13;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;42170;R84;A10;D042;CR42170
2008;2008-09;Commune;Saint-Étienne;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;28;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;42218;R84;A10;D042;UU00753
2008;2008-09;Commune;Saint-Priest-en-Jarez;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;13;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;42275;R84;A10;D042;UU00753
2008;2008-09;Commune;Brives-Charensac;UNIV;Universités;PU;Établissements publics;2;Feminin;26;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;43041;R84;A06;D043;UU43401
2008;2008-09;Commune;Monistrol-sur-Loire;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;19;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;43137;R84;A06;D043;UU43301
2008;2008-09;Commune;Lens;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;177;non;;oui;177;oui;Données diffusables;non;Autres données;COMMUNE;62498;R32;A09;D062;UU00756
2008;2008-09;Commune;Montreuil;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;28;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62588;R32;A09;D062;UU62201
2008;2008-09;Commune;Saint-Omer;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;204;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62765;R32;A09;D062;UU62501
2008;2008-09;Commune;Aubière;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;16;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;63014;R84;A06;D063;UU63701
2008;2008-09;Commune;Rochefort-Montagne;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;18;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;63305;R84;A06;D063;CR63305
2008;2008-09;Commune;Thiers;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;115;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;63430;R84;A06;D063;UU63303
2008;2008-09;Commune;Thiers;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;156;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;63430;R84;A06;D063;UU63303
2008;2008-09;Commune;Bardos;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;8;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;64094;R75;A04;D064;CR64094
2008;2008-09;Commune;Bardos;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;5;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;64094;R75;A04;D064;CR64094
2008;2008-09;Commune;Bayonne;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;10;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;64102;R75;A04;D064;UU00751
2008;2008-09;Commune;Saint-Palais;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;50;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;64493;R75;A04;D064;UU64102
2008;2008-09;Commune;Bagnères-de-Bigorre;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;2;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;65059;R76;A16;D065;UU65301
2008;2008-09;Commune;Perpignan;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;53;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;66136;R76;A11;D066;UU66601
2008;2008-09;Commune;Brumath;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;160;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;67067;R44;A15;D067;UU67302
2008;2008-09;Commune;Haguenau;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;179;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;67180;R44;A15;D067;UU67501
2008;2008-09;Commune;Obernai;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;14;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;67348;R44;A15;D067;UU67303
2008;2008-09;Commune;Sélestat;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;99;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;67462;R44;A15;D067;UU67306
2008;2008-09;Commune;Strasbourg;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;220;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;67482;R44;A15;D067;UU67701
2008;2008-09;Commune;Strasbourg;UNIV;Universités;PU;Établissements publics;2;Feminin;21082;non;;oui;232;oui;Données diffusables;non;Autres données;COMMUNE;67482;R44;A15;D067;UU67701
2008;2008-09;Commune;Colmar;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;31;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;68066;R44;A15;D068;UU68501
2008;2008-09;Commune;Colmar;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;3;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;68066;R44;A15;D068;UU68501
2008;2008-09;Commune;Guebwiller;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;67;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;68112;R44;A15;D068;UU68401
2008;2008-09;Commune;Guebwiller;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;147;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;68112;R44;A15;D068;UU68401
2008;2008-09;Commune;Hazebrouck;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;70;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59295;R32;A09;D059;UU59401
2008;2008-09;Commune;Lambersart;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;53;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59328;R32;A09;D059;UU59702
2008;2008-09;Commune;Lambersart;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;41;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59328;R32;A09;D059;UU59702
2008;2008-09;Commune;Lille;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;2061;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59350;R32;A09;D059;UU59702
2008;2008-09;Commune;Lille;UNIV;Universités;PU;Établissements publics;1;Masculin;10002;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59350;R32;A09;D059;UU59702
2008;2008-09;Commune;Maubeuge;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;459;oui;24;non;;oui;Données diffusables;non;Autres données;COMMUNE;59392;R32;A09;D059;UU59601
2008;2008-09;Commune;Le Quesnoy;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;12;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59481;R32;A09;D059;UU59302
2008;2008-09;Commune;Ronchin;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;617;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59507;R32;A09;D059;UU59702
2008;2008-09;Commune;Tourcoing;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;60;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59599;R32;A09;D059;UU59702
2008;2008-09;Commune;Beauvais;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;770;non;;oui;770;oui;Données diffusables;non;Autres données;COMMUNE;60057;R32;A20;D060;UU60501
2008;2008-09;Commune;Clermont;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;53;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;60157;R32;A20;D060;UU60401
2008;2008-09;Commune;Gouvieux;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;11;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;60282;R32;A20;D060;UU60402
2008;2008-09;Commune;Nogent-sur-Oise;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;47;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;60463;R32;A20;D060;UU60601
2008;2008-09;Commune;Noyon;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;55;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;60471;R32;A20;D060;UU60304
2008;2008-09;Commune;Senlis;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;33;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;60612;R32;A20;D060;UU60306
2008;2008-09;Commune;Aire-sur-la-Lys;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;35;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62014;R32;A09;D062;UU00752
2008;2008-09;Commune;Arras;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;296;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62041;R32;A09;D062;UU62502
2008;2008-09;Commune;Arras;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;4143;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62041;R32;A09;D062;UU62502
2008;2008-09;Commune;Hénin-Beaumont;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;226;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62427;R32;A09;D062;UU00756
2008;2008-09;Commune;Le Puy-en-Velay;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;140;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;43157;R84;A06;D043;UU43401
2008;2008-09;Commune;Le Puy-en-Velay;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;610;oui;92;non;;oui;Données diffusables;non;Autres données;COMMUNE;43157;R84;A06;D043;UU43401
2008;2008-09;Commune;Ancenis;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;14;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;44003;R52;A17;D044;UU44301
2008;2008-09;Commune;Châteaubriant;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;31;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;44036;R52;A17;D044;UU44302
