rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2002;2002-03;Unité urbaine;Molsheim;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;68;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU67401;R44;;;UU67401
2012;2012-13;Académie;Reims;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;488;non;;oui;488;oui;Données diffusables;non;Autres données;ACADEMIE;A19;R44;A19;;
2002;2002-03;Unité urbaine;Altkirch;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;15;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU68206;R44;;;UU68206
2012;2012-13;Académie;Limoges;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;102;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A22;R75;A22;;
2002;2002-03;Unité urbaine;Colmar;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;40;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU68501;R44;;;UU68501
2012;2012-13;Académie;Nice;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;116;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A23;R93;A23;;
2002;2002-03;Unité urbaine;Mulhouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;18;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU68701;R44;;;UU68701
2012;2012-13;Académie;Créteil;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;60;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A24;R11;A24;;
2002;2002-03;Unité urbaine;Vesoul;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;49;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU70401;R27;;;UU70401
2002;2002-03;Unité urbaine;Tournus;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;45;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU71202;R27;;;UU71202
