rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2016;2016-17;Commune;Villefranche-sur-Saône;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;21;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;69264;R84;A10;D069;UU00758
2015;2015-16;Unité urbaine;Dives-sur-Mer;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;50;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14402;R28;;;UU14402
2016;2016-17;Commune;Ingersheim;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;20;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;68155;R44;A15;D068;UU68501
2017;2017-18;Unité urbaine;Dreux;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;179;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU28401;R24;;;UU28401
2015;2015-16;Unité urbaine;Caen;UNIV;Universités;PU;Établissements publics;2;Feminin;13855;oui;644;oui;69;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14601;R28;;;UU14601
2016;2016-17;Commune;Villeurbanne;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;10294;oui;1347;oui;1902;oui;Données diffusables;non;Autres données;COMMUNE;69266;R84;A10;D069;UU00758
2015;2015-16;Unité urbaine;Aurillac;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;197;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU15401;R84;;;UU15401
2017;2017-18;Unité urbaine;Pont-l'Abbé;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;51;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29306;R53;;;UU29306
2015;2015-16;Unité urbaine;Angoulême;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;41;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU16601;R75;;;UU16601
2017;2017-18;Unité urbaine;Quimper;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;1437;oui;458;oui;49;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29501;R53;;;UU29501
