rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2003;2003-04;Région;Bretagne;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;525;non;;non;;oui;Données diffusables;non;Autres données;REGION;R53;R53;;;
2013;2013-14;Unité urbaine;Douai - Lens;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;658;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00756;R32;;;UU00756
2003;2003-04;Région;Provence-Alpes-Côte d'Azur;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;2938;non;;non;;oui;Données diffusables;non;Autres données;REGION;R93;R93;;;
2013;2013-14;Unité urbaine;Marseille - Aix-en-Provence;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;40859;oui;1181;oui;676;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00759;R93;;;UU00759
2003;2003-04;Unité urbaine;Digoin;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;23;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00353;R27;;;UU00353
2013;2013-14;Unité urbaine;Paris;ESPE;ESPE;PU;Établissements publics;2;Feminin;3279;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00851;R11;;;UU00851
2003;2003-04;Unité urbaine;Mâcon;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;172;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00464;R27;;;UU00464
2003;2003-04;Unité urbaine;Mâcon;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;49;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00464;R27;;;UU00464
2003;2003-04;Unité urbaine;Arles;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;98;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00552;R93;;;UU00552
2013;2013-14;Unité urbaine;Saint-Quentin;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;254;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU02501;R32;;;UU02501
2015;2015-16;Département;Cher;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;36;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D018;R24;A18;D018;
2015;2015-16;Département;Cher;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;116;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D018;R24;A18;D018;
2015;2015-16;Département;Cher;ESPE;ESPE;PU;Établissements publics;1;Masculin;13;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D018;R24;A18;D018;
2013;2013-14;Unité urbaine;Annonay;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;61;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU07401;R84;;;UU07401
2013;2013-14;Unité urbaine;Annonay;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;103;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU07401;R84;;;UU07401
2013;2013-14;Unité urbaine;Rethel;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;5;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU08301;R44;;;UU08301
2003;2003-04;Unité urbaine;Gevrey-Chambertin;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU21110;R27;;;UU21110
2013;2013-14;Unité urbaine;Vire;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;16;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14301;R28;;;UU14301
2013;2013-14;Unité urbaine;Bayeux;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;29;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14303;R28;;;UU14303
2013;2013-14;Unité urbaine;Lisieux;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14401;R28;;;UU14401
2013;2013-14;Unité urbaine;Dives-sur-Mer;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;36;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14402;R28;;;UU14402
2015;2015-16;Commune;Loudun;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;40;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;86137;R75;A13;D086;UU86204
2013;2013-14;Unité urbaine;Caen;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;95;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU14601;R28;;;UU14601
2015;2015-16;Commune;Limoges;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;116;non;;oui;116;oui;Données diffusables;non;Autres données;COMMUNE;87085;R75;A22;D087;UU87601
2015;2015-16;Commune;Verneuil-sur-Vienne;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;60;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;87201;R75;A22;D087;UU87104
