rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2011;2011-12;Département;Paris;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;1767;non;;oui;1767;oui;Données diffusables;non;Autres données;DEPARTEMENT;D075;R11;A01;D075;
2011;2011-12;Département;Seine-Maritime;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;344;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D076;R28;A21;D076;
2011;2011-12;Département;Seine-et-Marne;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;309;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D077;R11;A24;D077;
2011;2011-12;Département;Yvelines;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;195;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D078;R11;A25;D078;
2011;2011-12;Département;Deux-Sèvres;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;1345;oui;109;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D079;R75;A13;D079;
2011;2011-12;Département;Somme;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;44;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D080;R32;A20;D080;
2011;2011-12;Département;Tarn;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;6;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D081;R76;A16;D081;
2011;2011-12;Département;Tarn-et-Garonne;UNIV;Universités;PU;Établissements publics;1;Masculin;152;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D082;R76;A16;D082;
2011;2011-12;Département;Var;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;65;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D083;R93;A23;D083;
2011;2011-12;Département;Var;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;859;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D083;R93;A23;D083;
2011;2011-12;Département;Haute-Vienne;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;358;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D087;R75;A22;D087;
2011;2011-12;Département;Haute-Vienne;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;124;non;;oui;124;oui;Données diffusables;non;Autres données;DEPARTEMENT;D087;R75;A22;D087;
2011;2011-12;Département;Haute-Vienne;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;8113;oui;408;oui;248;oui;Données diffusables;non;Autres données;DEPARTEMENT;D087;R75;A22;D087;
2012;2012-13;Commune;Lyon 2e;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;2;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;69382;R84;A10;D069;UU00758
2012;2012-13;Commune;Lyon 2e;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;1160;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;69382;R84;A10;D069;UU00758
