rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2016;2016-17;Commune;Lyon 9e;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;211;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;69389;R84;A10;D069;UU00758
2016;2016-17;Département;Pas-de-Calais;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;261;non;;oui;261;oui;Données diffusables;non;Autres données;DEPARTEMENT;D062;R32;A09;D062;
2017;2017-18;Commune;Baie-Mahault;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;10;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97103;R01;A32;D971;UU9A701
2016;2016-17;Commune;Lure;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;64;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;70310;R27;A03;D070;UU70302
2017;2017-18;Commune;Baie-Mahault;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;4;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97103;R01;A32;D971;UU9A701
2016;2016-17;Département;Hérault;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;406;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D034;R76;A11;D034;
2017;2017-18;Commune;Baie-Mahault;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;123;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97103;R01;A32;D971;UU9A701
2016;2016-17;Commune;Chalon-sur-Saône;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;35;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;71076;R27;A07;D071;UU71501
2005;2005-06;Département;Deux-Sèvres;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;19;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D079;R75;A13;D079;
2016;2016-17;Département;Haut-Rhin;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;658;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D068;R44;A15;D068;
2016;2016-17;Unité urbaine;Perpignan;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;3870;oui;309;oui;20;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU66601;R76;;;UU66601
