rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2016;2016-17;Commune;Blagnac;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;118;oui;100;non;;oui;Données diffusables;non;Autres données;COMMUNE;31069;R76;A16;D031;UU31701
2017;2017-18;Commune;Saint-André;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;77;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97409;R04;A28;D974;UU9D502
2016;2016-17;Commune;Labège;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;114;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31254;R76;A16;D031;UU31701
2005;2005-06;Région;Nouvelle-Aquitaine;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;404;non;;non;;oui;Données diffusables;non;Autres données;REGION;R75;R75;;;
2017;2017-18;Commune;Le Tampon;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;192;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97422;R04;A28;D974;UU9D601
2017;2017-18;Commune;Le Tampon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;1865;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97422;R04;A28;D974;UU9D601
2016;2016-17;Commune;Auch;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;2;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;32013;R76;A16;D032;UU32401
2005;2005-06;Région;Occitanie;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;2484;non;;non;;oui;Données diffusables;non;Autres données;REGION;R76;R76;;;
2016;2016-17;Commune;Neuvic;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;140;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;19148;R75;A22;D019;CR19148
2017;2017-18;Commune;Pirae;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;45;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;98736;R00;A41;D987;TOM98736
2017;2017-18;Commune;Punaauia;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;89;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;98738;R00;A41;D987;TOM98738
2017;2017-18;Commune;Punaauia;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;40;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;98738;R00;A41;D987;TOM98738
2016;2016-17;Commune;Loudéac;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;66;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;22136;R53;A14;D022;UU22205
2005;2005-06;Unité urbaine;Figeac;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;64;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00364;R76;;;UU00364
2017;2017-18;Commune;Poindimié;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;7;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;98822;R00;A40;D988;TOM98822
2017;2017-18;Commune;Pouembout;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;18;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;98825;R00;A40;D988;TOM98825
2017;2017-18;Académie;Paris;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;5679;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A01;R11;A01;;
2015;2015-16;Unité urbaine;Creil;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;38;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU60601;R32;;;UU60601
2005;2005-06;Unité urbaine;Arles;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;50;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00552;R93;;;UU00552
2015;2015-16;Unité urbaine;Arras;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;4632;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU62502;R32;;;UU62502
2017;2017-18;Académie;Besançon;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;151;non;;oui;151;oui;Données diffusables;non;Autres données;ACADEMIE;A03;R27;A03;;
2015;2015-16;Unité urbaine;Clermont-Ferrand;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;1;Masculin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU63701;R84;;;UU63701
2017;2017-18;Académie;Caen;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;180;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A05;R28;A05;;
2017;2017-18;Académie;Clermont-Ferrand;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;109;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A06;R84;A06;;
2017;2017-18;Académie;Clermont-Ferrand;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;2077;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A06;R84;A06;;
2017;2017-18;Académie;Dijon;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;196;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A07;R27;A07;;
2017;2017-18;Académie;Dijon;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;1039;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A07;R27;A07;;
2015;2015-16;Unité urbaine;Saint-Cyprien;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;111;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU66401;R76;;;UU66401
2015;2015-16;Unité urbaine;Strasbourg;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;162;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU67701;R44;;;UU67701
2005;2005-06;Unité urbaine;Bayonne;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00751;R75;;;UU00751
2017;2017-18;Académie;Montpellier;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;1;Masculin;62;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A11;R76;A11;;
2015;2015-16;Unité urbaine;Rouffach;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;162;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU68123;R44;;;UU68123
2005;2005-06;Unité urbaine;Béthune;UNIV;Universités;PU;Établissements publics;1;Masculin;2018;oui;839;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00752;R32;;;UU00752
2005;2005-06;Unité urbaine;Saint-Étienne;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;689;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU00753;R84;;;UU00753
2005;2005-06;Commune;Villeneuve-Saint-Georges;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;23;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;94078;R11;A24;D094;UU00851
2005;2005-06;Commune;Vincennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;30;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;94080;R11;A24;D094;UU00851
2017;2017-18;Académie;Strasbourg;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;275;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A15;R44;A15;;
2015;2015-16;Unité urbaine;Colmar;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;79;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU68501;R44;;;UU68501
2017;2017-18;Académie;Strasbourg;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;87;non;;oui;87;oui;Données diffusables;non;Autres données;ACADEMIE;A15;R44;A15;;
2015;2015-16;Unité urbaine;Sète;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;279;oui;59;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU34502;R76;;;UU34502
2015;2015-16;Unité urbaine;Montpellier;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;68;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU34701;R76;;;UU34701
2015;2015-16;Unité urbaine;Montpellier;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;473;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU34701;R76;;;UU34701
2015;2015-16;Unité urbaine;Rennes;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;122;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2015;2015-16;Unité urbaine;Tours;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;57;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU37701;R24;;;UU37701
2015;2015-16;Unité urbaine;Villette-d'Anthon;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;6;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU38121;R84;;;UU38121
2005;2005-06;Commune;Fort-de-France;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;60;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97209;R02;A31;D972;UU9B601
2015;2015-16;Unité urbaine;Grenoble;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;578;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU38701;R84;;;UU38701
2005;2005-06;Commune;Fort-de-France;UNIV;Universités;PU;Établissements publics;2;Feminin;370;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97209;R02;A31;D972;UU9B601
2015;2015-16;Unité urbaine;Mont-de-Marsan;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;50;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU40401;R75;;;UU40401
2005;2005-06;Commune;Le Marin;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;7;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97217;R02;A31;D972;UU9B602
2015;2015-16;Unité urbaine;Vendôme;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;79;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU41401;R24;;;UU41401
2005;2005-06;Commune;Cayenne;UNIV;Universités;PU;Établissements publics;1;Masculin;562;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97302;R03;A33;D973;UU9C601
2015;2015-16;Unité urbaine;Saint-Just-Saint-Rambert;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;27;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU42501;R84;;;UU42501
2015;2015-16;Unité urbaine;Yssingeaux;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;38;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU43201;R84;;;UU43201
2015;2015-16;Unité urbaine;Le Puy-en-Velay;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;457;oui;198;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU43401;R84;;;UU43401
2015;2015-16;Unité urbaine;Saint-Gildas-des-Bois;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;19;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU44107;R52;;;UU44107
2015;2015-16;Unité urbaine;Saint-Nazaire;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;15;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU44601;R52;;;UU44601
2005;2005-06;Commune;Sada;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;31;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;97616;R06;A43;D976;UU9F207
2017;2017-18;Commune;Villeneuve-sur-Lot;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;10;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;47323;R75;A04;D047;UU47401
2016;2016-17;Commune;Saint-Lô;ESPE;ESPE;PU;Établissements publics;1;Masculin;31;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;50502;R28;A05;D050;UU50401
2017;2017-18;Commune;Angers;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;;non;;non;;non;Données non diffusables;oui;Données soumises au secret statistique;COMMUNE;49007;R52;A17;D049;UU49701
2016;2016-17;Commune;Chaumont;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;13;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;52121;R44;A19;D052;UU52401
2005;2005-06;Académie;Aix-Marseille;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;4927;non;;oui;12;oui;Données diffusables;non;Autres données;ACADEMIE;A02;R93;A02;;
2005;2005-06;Académie;Besançon;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;15;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A03;R27;A03;;
2005;2005-06;Académie;Besançon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;15454;oui;1303;oui;2035;oui;Données diffusables;non;Autres données;ACADEMIE;A03;R27;A03;;
2017;2017-18;Commune;Granville;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;58;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;50218;R28;A05;D050;UU50402
2016;2016-17;Commune;Nancy;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;520;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;54395;R44;A12;D054;UU54701
2016;2016-17;Commune;Nancy;GE;Grands établissements MENESR;PU;Établissements publics;2;Feminin;13222;oui;663;oui;659;oui;Données diffusables;non;Autres données;COMMUNE;54395;R44;A12;D054;UU54701
2005;2005-06;Académie;Caen;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;517;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A05;R28;A05;;
2017;2017-18;Commune;Évron;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;39;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;53097;R52;A17;D053;UU53203
2005;2005-06;Académie;Clermont-Ferrand;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;311;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A06;R84;A06;;
2005;2005-06;Académie;Clermont-Ferrand;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;16;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A06;R84;A06;;
2016;2016-17;Commune;Lorient;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;233;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;56121;R53;A14;D056;UU56601
2017;2017-18;Commune;Laxou;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;39;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;54304;R44;A12;D054;UU54701
2016;2016-17;Commune;Le Ban-Saint-Martin;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;143;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;57049;R44;A12;D057;UU57701
2016;2016-17;Commune;Jury;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;155;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;57351;R44;A12;D057;UU57120
2005;2005-06;Académie;Grenoble;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;1033;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A08;R84;A08;;
2005;2005-06;Académie;Grenoble;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;73;non;;oui;73;oui;Données diffusables;non;Autres données;ACADEMIE;A08;R84;A08;;
2015;2015-16;Unité urbaine;Vesoul;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;63;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU70401;R27;;;UU70401
2005;2005-06;Académie;Lille;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;740;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A09;R32;A09;;
2017;2017-18;Commune;Courcelles-Chaussy;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;14;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;57155;R44;A12;D057;UU57121
2017;2017-18;Commune;Courcelles-Chaussy;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;14;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;57155;R44;A12;D057;UU57121
2015;2015-16;Unité urbaine;Dieppe;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;4;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU76404;R28;;;UU76404
2005;2005-06;Académie;Montpellier;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;2;Feminin;56;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A11;R76;A11;;
2015;2015-16;Unité urbaine;Coulommiers;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;32;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU77402;R11;;;UU77402
2015;2015-16;Unité urbaine;Champagne-sur-Seine;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;79;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU77404;R11;;;UU77404
2015;2015-16;Unité urbaine;Fontainebleau;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;303;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU77406;R11;;;UU77406
2015;2015-16;Unité urbaine;Thouars;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;138;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU79302;R75;;;UU79302
2017;2017-18;Commune;Metz;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;9726;oui;432;oui;271;oui;Données diffusables;non;Autres données;COMMUNE;57463;R44;A12;D057;UU57701
2005;2005-06;Unité urbaine;Foix;UNIV;Universités;PU;Établissements publics;1;Masculin;37;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU09301;R76;;;UU09301
2012;2012-13;Commune;Beauvais;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;534;oui;134;non;;oui;Données diffusables;non;Autres données;COMMUNE;60057;R32;A20;D060;UU60501
2017;2017-18;Commune;Sarrebourg;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;12;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;57630;R44;A12;D057;UU57302
2005;2005-06;Unité urbaine;Rodez;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;170;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU12402;R76;;;UU12402
2005;2005-06;Unité urbaine;Rodez;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;180;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU12402;R76;;;UU12402
2005;2005-06;Unité urbaine;Rodez;UNIV;Universités;PU;Établissements publics;2;Feminin;392;oui;119;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU12402;R76;;;UU12402
2012;2012-13;Commune;Arras;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;3762;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62041;R32;A09;D062;UU62502
2012;2012-13;Commune;Arras;UNIV;Universités;PU;Établissements publics;1;Masculin;1415;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62041;R32;A09;D062;UU62502
2017;2017-18;Commune;Aulnoy-lez-Valenciennes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;3168;oui;420;oui;138;oui;Données diffusables;non;Autres données;COMMUNE;59032;R32;A09;D059;UU59701
2012;2012-13;Commune;Bruay-la-Buissière;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;182;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62178;R32;A09;D062;UU00752
2017;2017-18;Commune;Cambrai;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;23;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59122;R32;A09;D059;UU59403
2017;2017-18;Commune;Denain;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;115;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59172;R32;A09;D059;UU59701
2017;2017-18;Commune;Douai;ESPE;ESPE;PU;Établissements publics;2;Feminin;198;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;59178;R32;A09;D059;UU00756
2012;2012-13;Commune;Lens;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;379;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62498;R32;A09;D062;UU00756
2017;2017-18;Commune;Abbeville;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;319;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;80001;R32;A20;D080;UU80401
2012;2012-13;Commune;Longuenesse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;6;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;62525;R32;A09;D062;UU62501
2017;2017-18;Commune;Amiens;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;337;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;80021;R32;A20;D080;UU80601
2017;2017-18;Commune;Salouël;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;116;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;80725;R32;A20;D080;UU80601
